station_name,appearance,min_travel_dt,max_travel_dt,short_name,lon,lat
14th St & Colorado Ave NW,52134,2013-04-12 16:37:01,2023-02-28 23:41:33,31407,-77.032947,38.956432
14th St & Luzon Ave NW,1165,2022-09-02 15:12:49,2023-02-28 22:18:12,31416,-77.033509,38.969489
14th St & New York Ave NW,271493,2010-09-30 09:03:13,2023-02-28 21:01:50,31216,-77.031686,38.899632
14th St & Spring Rd NW,199378,2010-09-20 19:14:22,2023-02-28 23:47:14,31401,-77.0328,38.9375
14th St Heights / 14th & Crittenden St NW,43056,2010-09-26 21:42:43,2023-02-28 16:28:09,31402,-77.032818,38.947774
15th & Crystal Dr,64759,2010-09-20 12:52:50,2018-07-31 23:42:49,,-77.051,38.86
15th & East Capitol St NE,131929,2013-05-14 13:09:29,2023-02-28 20:51:08,31630,-76.983326,38.889908
15th & Euclid St  NW,192608,2013-05-06 12:44:47,2021-08-09 13:30:33,,-77.037,38.923
15th & Euclid St NW,25618,2020-04-01 08:14:11,2023-02-28 23:52:31,31117,-77.0352,38.92333
15th & F St NE,124722,2013-05-30 12:13:26,2023-02-28 22:55:18,31632,-76.983575,38.897195
15th & Harvard St NW,8692,2020-04-01 08:58:06,2022-01-19 07:40:16,,-77.035,38.926
15th & K St NW,246688,2012-07-02 09:38:21,2023-02-28 21:33:59,31254,-77.03353,38.902
15th & L St NW,195156,2014-10-07 13:55:25,2023-02-28 21:04:45,31276,-77.034918,38.903649
15th & M St NW,149594,2017-06-01 11:57:03,2023-02-28 23:06:21,31298,-77.034674,38.905424
15th & N Scott St,41752,2012-04-25 19:52:55,2019-02-28 23:27:28,,-77.083,38.891
15th & P St NW,944642,2010-09-20 12:34:17,2023-02-28 23:11:40,31201,-77.03442692756653,38.90980062655191
15th & W St NW,221768,2017-01-05 13:12:19,2023-02-28 22:16:22,31125,-77.034449,38.9190185
15th St & Constitution Ave NW,234328,2017-06-22 11:08:03,2023-02-28 21:22:40,31321,-77.033234,38.892244
15th St & Massachusetts Ave SE,166277,2011-12-22 17:23:37,2023-02-28 22:19:39,31626,-76.983569,38.88732
15th St & N Scott St,17811,2019-03-01 08:39:22,2023-02-28 23:12:25,31031,-77.08095,38.89054
15th St & Pennsylvania Ave NW,104062,2019-03-01 08:11:44,2023-02-28 23:02:27,31129,-77.0333808660507,38.89646474748647
15th St & Pennsylvania Ave NW/Pershing Park,60382,2017-09-27 12:05:10,2019-02-28 22:23:24,,-80.822,35.23
16th & Bangor St SE,41,2023-01-13 01:28:05,2023-02-28 16:01:34,31829,-76.983585,38.86044
16th & Harvard St NW,351174,2010-09-20 12:36:28,2023-02-28 23:36:25,31135,-77.03665,38.926102
16th & Irving St NW,102053,2016-03-10 10:40:20,2023-02-28 23:46:43,31122,-77.03625,38.928893
16th & Q St SE / Anacostia HS,7227,2016-09-09 17:21:07,2023-02-24 09:57:24,31812,-76.982359,38.870695
16th & R St NW,154771,2016-03-10 17:01:12,2023-02-28 21:57:49,31282,-77.036278,38.912652
17th & Corcoran St NW,660056,2010-09-23 22:19:15,2023-02-28 23:08:27,31214,-77.0387,38.9121
17th & G St NW,303458,2014-10-07 09:17:10,2023-03-01 09:09:37,31277,-77.039643,38.898301
17th & K St NW,464923,2010-09-21 17:27:23,2023-02-28 21:27:45,31213,-77.03863,38.90276
17th & K St NW / Farragut Square,391513,2011-04-29 09:39:31,2023-02-28 22:52:04,31233,-77.038322,38.902061
17th & P St NW,48511,2021-10-05 13:28:07,2023-02-28 23:50:25,31330,-77.038566,38.909858
17th & Upshur St NW,9526,2019-07-24 16:30:05,2023-02-28 20:34:39,31420,-77.038684,38.942146
17th St & Independence Ave SW,280763,2016-06-14 11:31:34,2023-03-02 17:25:41,31290,-77.038325,38.888097
17th St & Massachusetts Ave NW,370332,2013-05-06 11:01:33,2023-02-28 22:21:23,31267,-77.038359,38.908142
17th St & Rhode Island Ave NW,721,2023-02-09 12:29:33,2023-02-28 22:19:40,31210,-77.03862726688385,38.906767059408295
18th & C St NW,81090,2016-04-19 08:49:14,2023-02-28 23:28:18,31284,-77.041544,38.893511
18th & Eads St.,42565,2010-09-20 18:51:29,2019-02-28 20:46:17,,-77.055,38.857
18th & L St NW,57763,2019-06-01 07:25:20,2023-02-28 22:34:05,31224,-77.04245209693909,38.903741450919384
18th & M St NW,372132,2010-10-07 18:06:33,2023-02-28 21:56:55,31221,-77.04177886247635,38.90506687455313
18th & Monroe St NE,10211,2017-03-08 15:37:48,2023-02-28 20:30:39,31521,-76.979517,38.93293
18th & New Hampshire Ave NW,120662,2019-01-24 14:25:30,2023-02-28 22:41:41,31324,-77.041829,38.911268
